,,Output Data,Output Data,Output Data,Output Data,Output Data,Confidence Score,Confidence Score,Confidence Score,Confidence Score,Confidence Score,
,Filename,Far Below Average,Below Average,Average,Above Average,Far Above Average,Far Below Average,Below Average,Average,Above Average,Far Above Average,Weighted Score
0,K2 1422 cropped_Page_3.jpg,3.0,4.0,245.0,3.0,2.0,1.1673151750972763,1.556420233463035,95.3307392996109,1.1673151750972763,0.7782101167315175,2.9883268482490273
1,K4 1111 cropped b_Page_12.jpg,3.0,3.0,240.0,4.0,6.0,1.171875,1.171875,93.75,1.5625,2.34375,3.02734375
2,k5 1181 cropped c_Page_24.jpg,3.0,2.0,231.0,4.0,15.0,1.1764705882352942,0.7843137254901961,90.58823529411765,1.5686274509803921,5.88235294117647,3.101960784313725
3,k5 2112 cropped b_Page_16.jpg,4.0,6.0,226.0,12.0,8.0,1.5625,2.34375,88.28125,4.6875,3.125,3.0546875
4,TCTDP C scans cropped d_Page_13.jpg,18.0,16.0,161.0,57.0,4.0,7.03125,6.25,62.890625,22.265625,1.5625,3.05078125
