,,Output Data,Output Data,Confidence Score,Confidence Score,
,Filename,FBA,AVE,FBA,AVE,Weighted Score
0,TCT16A_9.jpg,12.0,244.0,4.6875,95.3125,2.90625
1,TCT2A_22.jpg,244.0,12.0,95.3125,4.6875,1.09375
2,TCT49A_5.jpg,10.0,246.0,3.90625,96.09375,2.921875
3,TCT9A_29.jpg,244.0,12.0,95.3125,4.6875,1.09375
